totalpris,internt_bruksareal,terrasseareal,rom,byggeår,gatenavn
9215840,166,0,5,2025,Furuset allé
12813890,215,38,8,1977,Linjeveien
3389645,45,2,2,1972,Henrik Sørensens vei
6668654,111,3,4,1981,Trygve Nilsens vei
9933340,220,30,4,2008,Skanseveien
3513872,43,2,2,1972,Henrik Sørensens vei
5613557,132,5,6,2009,Kaiekroken
4304491,66,10,3,1948,Slåtteveien
6272257,119,8,4,1978,Ulsholtveien
5123967,105,7,4,1977,Høybråtenveien
3976515,63,4,3,1976,Maria Dehlis vei
3893147,59,6,2,1977,Jerikoveien
4989787,100,3,4,1977,Lindebergåsen
4313211,81,9,4,1979,Granstangen
3477281,45,2,2,1979,Starveien
4230777,75,5,3,1977,Høybråtenveien
3483037,35,2,2,1977,Jerikoveien
4265830,85,5,3,1979,Granstangen
7944840,190,31,5,1982,Soleglad
3781612,50,4,2,1981,Edvard Munchs vei
3353362,46,6,2,1977,Jerikoveien
10324351,137,17,5,2022,Bekkevollveien
3550306,73,6,3,1974,Ludvig Karstens vei
8201350,192,16,5,1965,Ellingsrudveien
4866711,84,5,3,1980,Pionerstien
3995221,67,2,2,1976,Lindebergåsen
3692651,54,3,2,1978,Lindebergåsen
3676035,50,4,2,1973,Ludvig Karstens vei
4305310,81,5,3,1976,Maria Dehlis vei
4071715,90,8,4,1973,Harald Sohlbergs vei
8257812,112,4,5,1981,Erling Michelsens vei
4292752,80,7,3,1976,Vestre Haugen
3668344,44,2,2,1977,Lindebergåsen
4439310,73,8,3,1972,Harald Sohlbergs vei
4910166,105,8,5,1975,Høybråtenveien
3655595,78,3,2,1979,Lindebergåsen
3530905,73,9,4,1973,Harald Sohlbergs vei
5543940,107,5,5,1980,Jerikoveien
8149840,126,6,5,2012,Høybråtenveien
3641875,60,5,3,1977,Høybråtenveien
4806074,105,7,4,1977,Høybråtenveien
3825737,50,7,2,1981,Skansen terrasse
9728600,188,37,7,1995,Ellingsrudveien
3655509,50,8,2,1980,Dragonstien
5543940,107,0,5,2027,Jerikoveien
17063200,196,0,5,2027,Risløkkfaret
5543940,107,5,5,2027,Jerikoveien
5985720,80,5,4,2027,Granstangen
5887900,59,5,3,2027,Granstangen
4967291,96,3,4,1980,Ole Reistads vei
7184340,101,44,3,1932,Solbakken allé
7165840,127,0,4,1988,Bredes vei
6311832,111,17,4,1981,Erling Michelsens vei
8662340,133,3,6,2019,Myrbakkveien
7165840,160,20,4,1980,Kløfterhagen
4276199,81,7,3,1976,Maria Dehlis vei
5498838,105,5,4,1993,Munkebekken
5436198,117,9,5,1976,Høybråtenveien
9963490,148,5,4,1966,Kleiva
3616096,46,5,2,1977,Jerikoveien
3638841,60,5,2,1978,Kurlandstien
4866590,112,4,6,1978,Maria Dehlis vei
4242758,113,4,2,1978,Ole Reistads vei
7688590,139,0,3,1962,Kringveien
4883620,84,2,3,1976,Lindebergåsen
5458544,99,3,5,1977,Lindebergåsen
3867188,57,5,2,1952,Stjerneblokkveien
4125065,84,5,3,1976,Maria Dehlis vei
4027542,67,8,3,1963,Lindeberglia
9994840,240,26,17,1929,Idrettsveien
4525533,101,4,4,1975,Maria Dehlis vei
6085421,115,4,6,1976,Lindebergveien
4094887,60,3,3,1980,Jerikoveien
6193416,98,4,4,1981,Edvard Munchs vei
3998082,65,12,3,1952,Stjerneblokkveien
4290921,93,5,4,1975,Maria Dehlis vei
5469239,84,0,3,1980,Pionerstien
6920100,165,21,5,1960,Bergtunveien
4687612,70,5,4,2014,Harald Sohlbergs vei
4705476,104,7,4,1976,Vestre Haugen
3884522,50,8,2,1980,Dragonstien
13223590,275,40,7,1984,Nuggerudveien
4459840,78,20,3,1999,Gransdalen
2888733,30,2,1,1979,Kurlandstien
8970140,136,29,4,1981,Kleiva
5213035,104,4,6,1977,Høybråtenveien
6756100,172,0,4,1980,Ellingsrudveien
5900043,97,5,3,1982,Edvard Munchs vei
4870100,121,18,4,1984,Nuggerudveien
5433590,86,0,4,2018,Vardeheimveien
6311832,111,0,4,2027,Erling Michelsens vei
6311832,111,5,4,2027,Erling Michelsens vei
5605020,50,5,2,2027,Granstangen
7009420,67,5,3,2027,Granstangen
3409445,33,2,2,2027,Furuset Village
6498745,59,5,3,2027,Granstangen
6469445,74,5,4,2027,Furuset Village leil
11737600,284,26,8,1911,Skanseveien
9123850,248,7,3,2014,Furusetveien
4670998,59,9,3,1980,Lindebergåsen
11645100,182,42,6,2026,Granliveien
4218059,67,11,3,1957,Hockeyveien
8046250,186,17,5,1968,Høybråtenveien
10763850,142,35,7,2018,Linjeveien
3146827,31,3,1,1974,Micheletveien
11943850,255,0,7,1987,Linjeveien
6151350,135,12,4,1966,Hesjeveien
5132887,100,3,4,1976,Lindebergåsen
5423696,96,3,4,1978,Ole Reistads vei
5888696,111,4,4,1981,Erling Michelsens vei
9431090,191,0,8,1953,Hesjeveien
9562238,88,5,3,2027,Frysjaveien
6427900,59,5,3,2027,Granstangen
