url,address,total_price,asking_price,m2,rooms,bedrooms,apartment_type,TBA,BRA_i,BRA_e,byggeår,fellesgjeld
https://www.finn.no/realestate/homes/ad.html?finnkode=430055536,"Furuset allé 19 A, Oslo",9215840,8990000,166,,4,Enebolig,166,166,,2025,
https://www.finn.no/realestate/homes/ad.html?finnkode=452874950,"Linjeveien 19B, Oslo",12813890,12500000,215,8,3,Enebolig,253,215,38,1977,
https://www.finn.no/realestate/homes/ad.html?finnkode=464234110,"Henrik Sørensens vei 9, Oslo",3389645,3150000,45,2,1,Leilighet,47,45,2,1972,230149
https://www.finn.no/realestate/homes/ad.html?finnkode=465569358,"Trygve Nilsens vei 30G, Oslo",6668654,5990000,111,4,3,Rekkehus,114,111,3,1981,669158
https://www.finn.no/realestate/homes/ad.html?finnkode=465739653,"Skanseveien 8 E, Oslo",9933340,9690000,220,,3,Tomannsbolig,250,220,30,2008,
https://www.finn.no/realestate/homes/ad.html?finnkode=466020099,"Henrik Sørensens vei 5, Oslo",3513872,3290000,43,2,1,Leilighet,45,43,2,1972,214376
https://www.finn.no/realestate/homes/ad.html?finnkode=466027666,"Kaiekroken 18, Oslo",5613557,4300000,132,6,4,Leilighet,137,132,5,2009,1312467
https://www.finn.no/realestate/homes/ad.html?finnkode=467394397,"Slåtteveien 12, Oslo",4304491,4000000,66,3,2,Leilighet,76,66,10,1948,294995
https://www.finn.no/realestate/homes/ad.html?finnkode=467955633,"Ulsholtveien 4C, Oslo",6272257,6100000,119,4,3,Rekkehus,127,119,8,1978,162461
https://www.finn.no/realestate/homes/ad.html?finnkode=468127788,"Høybråtenveien 3D, Oslo",5123967,4400000,105,4,3,Leilighet,119,105,7,1977,714471
https://www.finn.no/realestate/homes/ad.html?finnkode=469111613,"Maria Dehlis vei 33, Oslo",3976515,3590000,63,3,2,Leilighet,,63,4,1976,377000
https://www.finn.no/realestate/homes/ad.html?finnkode=469170189,"Jerikoveien 1, Oslo",3893147,3490000,59,,1,Leilighet,65,59,6,1977,393651
https://www.finn.no/realestate/homes/ad.html?finnkode=471290052,"Lindebergåsen 66 C, Oslo",4989787,4550000,100,4,3,Leilighet,115,100,3,1977,430442
https://www.finn.no/realestate/homes/ad.html?finnkode=472172652,"Granstangen 10B, Oslo",4313211,3990000,81,4,3,Leilighet,100,81,9,1979,313715
https://www.finn.no/realestate/homes/ad.html?finnkode=473774084,"Starveien 8, Oslo",3477281,3200000,45,2,1,Leilighet,47,45,2,1979,267485
https://www.finn.no/realestate/homes/ad.html?finnkode=473977949,"Høybråtenveien 19A, Oslo",4230777,3900000,75,3,2,Leilighet,80,75,5,1977,321281
https://www.finn.no/realestate/homes/ad.html?finnkode=473979610,"Jerikoveien 23B, Oslo",3483037,3250000,35,2,1,Leilighet,48,35,2,1977,223541
